W,ticker,TP,FP,TN,FN,accuracy,TPR,TNR
W2,SPY.csv,216,170,48,67,0.5269461077844312,0.7632508833922261,0.22018348623853212
W3,SPY.csv,194,146,72,88,0.532,0.6879432624113475,0.3302752293577982
W4,SPY.csv,173,123,95,108,0.5370741482965932,0.6156583629893239,0.43577981651376146
Ensemble,SPY.csv,194,146,72,87,0.5288270377733598,0.6903914590747331,0.3302752293577982
W2,TSLA.csv,56,40,185,221,0.4800796812749004,0.20216606498194944,0.8222222222222222
W3,TSLA.csv,126,100,125,150,0.500998003992016,0.45652173913043476,0.5555555555555556
W4,TSLA.csv,145,125,100,130,0.49,0.5272727272727272,0.4444444444444444
Ensemble,TSLA.csv,108,90,135,168,0.48214285714285715,0.391304347826087,0.6
